;;;;Año;;;;;;;
Estado;Ciudad;Mes;causas;2022;2018;2017;2016;2015;2014;2013;2012
Quindio;Armenia;Enero;Número de Accidentes;113.0;106.0;0.0;243.0;190.0;65.0;153.0;173.0
;;;Heridos;43.0;67.0;98.0;116.0;92.0;1.0;60.0;80.0
;;;Muertos;0.0;1.0;0.0;0.0;1.0;64.0;1.0;0.0
;;Febrero;Número de Accidentes;136.0;111.0;0.0;239.0;219.0;90.0;172.0;206.0
;;;Heridos;48.0;70.0;105.0;122.0;114.0;89.0;73.0;97.0
;;;Muertos;2.0;0.0;3.0;4.0;3.0;1.0;0.0;0.0
;;Marzo;Número de Accidentes;128.0;97.0;0.0;257.0;243.0;106.0;222.0;250.0
;;;Heridos;63.0;84.0;93.0;109.0;116.0;106.0;104.0;134.0
;;;Muertos;2.0;0.0;1.0;1.0;2.0;0.0;1.0;1.0
;;Abril;Número de Accidentes;116.0;118.0;0.0;275.0;239.0;106.0;240.0;186.0
;;;Heridos;61.0;86.0;84.0;127.0;109.0;106.0;106.0;72.0
;;;Muertos;2.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0
;;Mayo;Número de Accidentes;110.0;151.0;0.0;266.0;241.0;122.0;222.0;171.0
;;;Heridos;58.0;89.0;81.0;122.0;129.0;119.0;97.0;74.0
;;;Muertos;2.0;2.0;1.0;1.0;0.0;3.0;0.0;0.0
;;Junio;Número de Accidentes;130.0;114.0;0.0;273.0;229.0;88.0;184.0;174.0
;;;Heridos;50.0;75.0;80.0;141.0;115.0;86.0;86.0;80.0
;;;Muertos;1.0;1.0;1.0;0.0;0.0;2.0;0.0;0.0
;;Julio;Número de Accidentes;113.0;88.0;0.0;308.0;242.0;92.0;207.0;187.0
;;;Heridos;67.0;63.0;106.0;145.0;123.0;91.0;98.0;72.0
;;;Muertos;1.0;2.0;1.0;1.0;1.0;1.0;0.0;1.0
;;Agosto;Número de Accidentes;105.0;121.0;0.0;299.0;281.0;102.0;213.0;182.0
;;;Heridos;61.0;55.0;89.0;141.0;145.0;101.0;95.0;82.0
;;;Muertos;0.0;1.0;4.0;1.0;0.0;1.0;1.0;0.0
;;Octubre;Número de Accidentes;52.0;134.0;0.0;274.0;280.0;54.0;211.0;171.0
;;;Heridos;49.0;53.0;90.0;125.0;125.0;4.0;93.0;65.0
;;;Muertos;5.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0
;;Noviembre;Número de Accidentes;19.0;129.0;0.0;245.0;240.0;98.0;221.0;183.0
;;;Heridos;60.0;73.0;79.0;119.0;105.0;97.0;105.0;85.0
;;;Muertos;3.0;2.0;2.0;1.0;0.0;1.0;0.0;0.0
;;Diciembre;Número de Accidentes;17.0;110.0;0.0;169.0;297.0;115.0;211.0;236.0
;;;Heridos;38.0;55.0;79.0;85.0;17.0;115.0;86.0;88.0
;;;Muertos;1.0;2.0;2.0;1.0;0.0;0.0;1.0;2.0
;;Septiempre;Número de Accidentes;104.0;136.0;0.0;256.0;272.0;110.0;212.0;193.0
;;;Heridos;55.0;81.0;97.0;104.0;117.0;108.0;87.0;87.0
;;;Muertos;3.0;1.0;0.0;0.0;2.0;2.0;0.0;1.0
